name,type,pdb_id,pdb_chain,uniprot,resolution
Spike protein S1,viral,22HG,A,P0DTC2,2.61
Hemagglutinin-neuraminidase,viral,1Z50,A,P04850,2.80
Genome polyprotein,viral,29JC,A,Q65900,1.80
Protease 3C,viral,29HM,A,Q68T42,1.80
"Regulatory protein IE1,HLA class II histocompatibility antigen DR beta chain",viral,28ZB,B,Q5Y7D1,2.43
Nucleoprotein,viral,26UI,A,P0DTC9,1.85
Structural protein,viral,26DE,W,X5I365,2.73
HYPOTHETICAL PROTEIN 5,viral,2CME,E,P59636,2.80
NUCLEOCAPSID PROTEIN,viral,2CJR,A,P59595,2.50
33 KDA EARLY PROTEIN,viral,2CH8,A,P03228,2.30
NUCLEOCAPSID PROTEIN,viral,2CA1,A,P69596,2.60
BZLF1 TRANS-ACTIVATOR PROTEIN,viral,2C9L,Y,P03206,2.25
DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,viral,2BT1,A,P03195,2.70
PROTEIN (BLACK BEETLE VIRUS CAPSID PROTEIN),viral,2BBV,A,P04329,2.80
Viral CASP8 and FADD-like apoptosis regulator,viral,2BBR,A,Q98325,1.20
coat protein,viral,2BBD,A,Q6Q0J0,2.04
E7 protein,viral,2B9D,A,P06465,1.60
Nonstructural protein V,viral,2B5L,C,P11207,2.85
B2 protein,viral,2AZ2,A,P68831,2.60
Nonstructural protein 2,viral,2GU0,A,Q9PY93,2.80
EVM001,viral,2GRK,A,Q9JFS0,2.60
wsv230,viral,2GJ2,A,Q91LD0,2.35
Protease VP4,viral,2GEF,A,Q8AZM0,2.20
Poly(A) polymerase catalytic subunit,viral,2GAF,D,P23371,2.40
Glutaredoxin-2,viral,2G2Q,A,P68460,2.50
Fusion glycoprotein F0,viral,2FYZ,A,P11236,2.20
Chymotrypsin-like cysteine proteinase,viral,2FYR,A,Q83883,2.20
25kDa structural protein VP25,viral,2ED6,A,Q9ICB7,2.00
EBOLA VIRUS ENVELOPE GLYCOPROTEIN,viral,2EBO,A,Q05320,1.90
DU,viral,2D4N,A,P07570,1.53
STIV B116,viral,2J85,A,Q6Q0K9,2.39
FIBER PROTEIN,viral,2J2J,A,Q65914,1.50
AVIAN ADENOVIRUS CELO LONG FIBRE,viral,2IUN,A,Q64761,2.80
Nucleocapsid protein,viral,2IC9,A,Q89462,2.00
Nucleocapsid,viral,2I9F,A,P19810,2.00
Glutaredoxin-1,viral,2HZF,A,Q8JLF5,1.80
helicase nsP2,viral,2HWK,A,Q9WIJ1,2.45
DNA topoisomerase 1,viral,2H7G,X,P32989,1.90
Hypothetical protein BQLF2,viral,2H3R,A,P88989,2.70
Deoxyuridine 5'-triphosphate nucleotidohydrolase,viral,2OL1,A,P17374,1.80
URACIL-DNA GLYCOSYLASE,viral,2J8X,A,P12888,2.30
Core protein P7,viral,2Q82,A,Q94M07,1.83
Dual specificity protein phosphatase,viral,2P4D,A,P0DOQ5,1.80
PROTEIN A41,viral,2VGA,A,P24766,1.90
MRNA-CAPPING ENZYME SMALL SUBUNIT,viral,2VDW,B,P04318,2.70
VACCINIA VIRUS CAPPING ENZYME D1 SUBUNIT,viral,2VDW,A,P04298,2.70
CAPSID PROTEIN P27,viral,2V4X,A,P31622,1.50
GLYCOPROTEIN G,viral,2X9M,A,O89343,2.90
HYPOTHETICAL PROTEIN ORF126,viral,2X5R,A,Q6ZYF6,2.00
HYPOTHETICAL PROTEIN ORF131,viral,2X5C,A,Q6ZYH1,1.80
HYPOTHETICAL PROTEIN ORF137,viral,2X4J,A,Q6ZYJ4,1.62
HYPOTHETICAL PROTEIN ORF239,viral,2X3M,A,Q6ZYJ2,1.45
POLYHEDRIN,viral,2WUX,A,P04871,1.84
PUTATIVE FIBER PROTEIN,viral,2WT2,A,Q83467,2.50
ALKALINE EXONUCLEASE,viral,2W45,A,P03217,3.00
PYRSV_GP04,viral,2VXZ,A,Q6ZYJ9,1.70
HEMAGGLUTININ-NEURAMINIDASE,viral,2VWD,A,Q9IH62,2.25
PROTEIN B15,viral,2VVY,A,P24772,2.69
Histone H3.2,cellular,10GJ,A,Q71DI3,2.80
Histone H2A type 1,cellular,10GJ,C,P0C0S8,2.80
Histone H2B type 1-C/E/F/G/I,cellular,10GK,D,P62807,2.70
Histone H4,cellular,10GL,B,P62805,2.50
Plasma kallikrein,cellular,10KZ,A,P03952,1.78
DNA ligase 3,cellular,10YE,L,P49916,2.50
Histone H2A type 1-H,cellular,10YF,C,Q96KK5,3.00
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,cellular,11AD,A,P48426,2.79
E3 ubiquitin-protein ligase CBL-B,cellular,10ZJ,A,Q13191,1.77
Histone H2B type 1-M,cellular,10YI,D,Q99879,2.90
Histone H2B type 2-F,cellular,10YF,D,Q5QNW6,3.00
Transmembrane 6 superfamily member 1,cellular,10UP,A,Q9BZW5,2.86
Mu-type opioid receptor,cellular,10TM,F,P35372,3.00
WD repeat-containing protein 5,cellular,10TC,A,P61964,2.20
Proprotein convertase subtilisin/kexin type 9,cellular,10SB,B,Q8NBP7,1.83
NAD(+) hydrolase SARM1,cellular,10RC,A,Q6SZW1,1.90
NAD(P)H dehydrogenase [quinone] 1,cellular,10QV,A,P15559,1.90
Tyrosine-protein kinase JAK2,cellular,10PJ,A,O60674,1.59
Tyrosine-protein kinase JAK1,cellular,10PI,A,P23458,1.54
Fibroblast growth factor receptor 2,cellular,10OU,A,P21802,1.77
GTPase KRas,cellular,10NV,A,P01116,1.52
Microtubule-associated protein tau,cellular,10NO,A,P10636,2.96
N-glycosylase/DNA lyase,cellular,10MN,A,O15527,2.10
"Ornithine aminotransferase, mitochondrial",cellular,10LX,A,P04181,1.83
Serine protease 57,cellular,10KV,B,Q6UWY2,2.75
Chitinase-3-like protein 1,cellular,10KA,A,P36222,2.47
Serine/threonine-protein kinase Chk1,cellular,10IA,A,O14757,1.74
GLUTATHIONE S-TRANSFERASE P1-1,cellular,10GS,A,P09211,2.20
Tyrosine-protein kinase Fgr,cellular,10GA,A,P09769,1.60
Protein cereblon,cellular,10DW,C,Q96SW2,2.90
Histone acetyltransferase KAT2A,cellular,10DW,A,Q92830,2.90
Tyrosine-protein kinase Fyn,cellular,10DJ,A,P06241,2.22
GTPase HRas,cellular,10DC,A,P01112,2.08
HBS1-like protein,cellular,10AY,A,Q9Y450,2.90
Histone-lysine N-methyltransferase SMYD1,cellular,10AX,A,Q8NB12,2.68
Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,cellular,10AP,A,Q14191,2.58
B-cell lymphoma/leukemia 11B,cellular,12UL,A,Q9C0K0,2.81
Ubiquitin carboxyl-terminal hydrolase 7,cellular,12ZJ,A,Q93009,1.63
Transforming growth factor beta-1,cellular,13FJ,A,P01137,2.75
Programmed cell death 1 ligand 1,cellular,13FL,C,Q9NZQ7,2.22
Flavin reductase (NADPH),cellular,13EB,A,P30043,1.82
Ubiquitin carboxyl-terminal hydrolase isozyme L3,cellular,13DF,A,P15374,1.84
Ewing's tumor-associated antigen 1,cellular,13DE,E,Q9NY74,2.90
Acetylcholinesterase,cellular,13CP,A,P22303,2.94
Retinol-binding protein 4,cellular,13AH,A,P02753,2.10
HUMAN LYSOZYME,cellular,134L,A,P61626,1.77
Glycine N-methyltransferase,cellular,12YI,A,Q14749,1.65
Cis-aconitate decarboxylase,cellular,12VW,A,A6NK06,1.46
T-cell antigen CD7,cellular,12NP,C,P09564,2.40
Secreted and transmembrane protein 1,cellular,12NP,A,Q8WVN6,2.40
REST corepressor 1,cellular,12LP,B,Q9UKL0,2.78
Cannabinoid receptor 2,cellular,12JA,R,P34972,2.90
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,cellular,12JA,C,P59768,2.90
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,cellular,12JA,B,P62873,2.90
Guanine nucleotide-binding protein G(i) subunit alpha-1,cellular,12JA,A,P63096,2.90
Mast/stem cell growth factor receptor Kit,cellular,12FJ,AAA,P10721,2.63
Thrombospondin-1,cellular,12EM,B,P07996,2.07
"Beta-1,3-glucosyltransferase",cellular,12EM,A,Q6Y288,2.07
Mitogen-activated protein kinase 8,cellular,12CV,A,P45983,1.50
CARBONIC ANHYDRASE II,cellular,12CA,A,P00918,2.40
Gelsolin,cellular,12BY,I,P06396,2.76
Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,cellular,12BP,X,P15170,2.90
Retinol-binding protein 2,cellular,12AK,A,P50120,1.37
14-3-3 protein sigma,cellular,11ZU,A,P31947,2.25
"Fermitin family homolog 3,Fermitin family homolog 3,Integrin beta-2",cellular,11ZT,A,Q86UX7,2.40
Phosphatidylinositol 3-kinase catalytic subunit type 3,cellular,11YC,B,Q8NEB9,2.41
Platelet-derived growth factor receptor beta,cellular,11UE,A,P09619,2.32
Casein kinase II subunit alpha,cellular,11UC,A,P68400,1.96
Mitogen-activated protein kinase 14,cellular,11OY,A,Q16539,2.02
Protein O-GlcNAcase 535-704 Peptide,cellular,11LJ,C,O60502,2.33
Hepatocyte growth factor receptor,cellular,11HQ,A,P08581,2.65
Telomerase protein component 1,cellular,11GZ,A,Q99973,2.44
Cyclin-dependent kinases regulatory subunit 2,cellular,11GY,C,P33552,2.40
G2/mitotic-specific cyclin-B1,cellular,11GY,B,P14635,2.40
Cyclin-dependent kinase 1,cellular,11GY,A,P06493,2.40
Cyclin-A2,cellular,11GV,B,P20248,1.59
Cyclin-dependent kinase 2,cellular,11GV,A,P24941,1.59
ALPHA-THROMBIN (LARGE SUBUNIT),cellular,1ABJ,H,P00734,2.40
PROTEIN TYROSINE PHOSPHATASE 1B,cellular,1AAX,A,P18031,1.90
ALZHEIMER'S DISEASE AMYLOID A4 PROTEIN,cellular,1AAP,A,P05067,1.50
BETA-SPECTRIN,cellular,1AA2,A,Q01082,2.00
HEMOGLOBIN (BETA CHAIN),cellular,1A9W,E,P02100,2.90
HEMOGLOBIN (ALPHA CHAIN),cellular,1A9W,A,P69905,2.90
SPLICEOSOMAL U2B'',cellular,1A9N,B,P08579,2.38
U2A',cellular,1A9N,A,P09661,2.38
BETA-2-MICROGLOBULIN,cellular,1A9E,B,P61769,2.50
"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, B-35 B*3501 (ALPHA CHAIN)",cellular,1A9E,A,P01889,2.50
TUMOR NECROSIS FACTOR ALPHA,cellular,1A8M,A,P01375,2.30
SERUM TRANSFERRIN,cellular,1A8F,A,P02787,1.80
MMP-8,cellular,1A86,A,P22894,2.00
SYK KINASE,cellular,1A81,A,P43405,3.00
FKBP12,cellular,1A7X,A,P62942,2.00
HEPARIN BINDING PROTEIN,cellular,1A7S,A,P20160,1.12
PLASMINOGEN ACTIVATOR INHIBITOR TYPE 1,cellular,1A7C,A,P05121,1.95
S-ADENOSYLHOMOCYSTEINE HYDROLASE,cellular,1A7A,A,P23526,2.80
HFE,cellular,1A6Z,A,Q30201,2.60
ORPHAN NUCLEAR RECEPTOR NR1D1,cellular,1A6Y,A,P20393,2.30
PHOSPHATASE 2C,cellular,1A6Q,A,P35813,2.00
"HLA class II histocompatibility antigen, DR-1 beta chain",cellular,1A6A,B,P01911,2.75
"HLA class II histocompatibility antigen, DR alpha chain",cellular,1A6A,A,P01903,2.75
TISSUE PLASMINOGEN ACTIVATOR,cellular,1A5H,A,P00750,2.90
ESTROGEN RECEPTOR,cellular,1A52,A,P03372,2.80
ANGIOGENIN,cellular,1A4Y,B,P03950,2.00
RIBONUCLEASE INHIBITOR,cellular,1A4Y,A,P13489,2.00
ALPHA-LACTALBUMIN,cellular,1A4V,A,P00709,1.80
G25K GTP-BINDING PROTEIN,cellular,1A4R,A,P60953,2.50
S100A10,cellular,1A4P,A,P60903,2.25
METHYLENETETRAHYDROFOLATE DEHYDROGENASE / METHENYLTETRAHYDROFOLATE CYCLOHYDROLASE,cellular,1A4I,A,P11586,1.50
UBC9,cellular,1A3S,A,P63279,2.80
PROTEIN (NUCLEAR FACTOR KAPPA-B P52),cellular,1A3Q,A,Q00653,2.10
HEMOGLOBIN (BETA CHAIN),cellular,1A3O,B,P68871,1.80
GALECTIN-3,cellular,1A3K,A,P17931,2.10
TOPOISOMERASE I,cellular,1A36,A,P11387,2.80
TRANSFORMING PROTEIN RHOA,cellular,1A2B,A,P61586,2.40
PROGESTERONE RECEPTOR,cellular,1A28,A,P06401,1.80
17-BETA-HYDROXYSTEROID-DEHYDROGENASE,cellular,1A27,A,P14061,1.90
GROWTH HORMONE RECEPTOR,cellular,1A22,B,P10912,2.60
GROWTH HORMONE,cellular,1A22,A,P01241,2.60
HMTCP-1,cellular,1A1X,A,P56278,2.00
C-SRC TYROSINE KINASE,cellular,1A1E,A,P12931,2.20
SERINE/THREONINE PROTEIN PHOSPHATASE 5,cellular,1A17,A,P53041,2.45
STROMAL DERIVED FACTOR-1ALPHA,cellular,1A15,A,P48061,2.20
REGULATOR OF CHROMOSOME CONDENSATION 1,cellular,1A12,A,P18754,1.70
BETA-TRYPTASE,cellular,1A0L,A,P20231,3.00
AP-1 FRAGMENT JUN,cellular,1A02,J,P05412,2.70
